Sample.ID,Organism,habitat,Org_Mor,Population_geo,R.S.,Climate,region_16S,lat,long,month,year,origin,swab,tm_max,tm_min,pre,elevation,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,BIOME,ECO_NAME,Family,Study,pielou_evenness,faith_pd,observed_features,shannon_entropy,Sample_id
ASMR2561,Pseudoeurycea leprosa,Terrestrial,Pseudoeurycea leprosa_Terrestrial,Pseudoeurycea leprosa_Terrestrial_p,S,Tropical,V4,18.97973,-97.213,5,2015,wild,body,17.0470772,4.05344772,109.901459,2971,9.61250019,12.791667,71.8632965,114.079819,18.5,0.69999999,17.7999992,9.96666622,8.89999962,11,8.1833334,1152,196,26,75.3866501,571,82,310,91,Tropical & Subtropical Coniferous Forests,Trans-Mexican Volcanic Belt pine-oak forests,Plethodontidae,PRJNA830991,0.737444604,93.06050765,122,5.11103485,FSMR2466
ASMR2562,Pseudoeurycea leprosa,Terrestrial,Pseudoeurycea leprosa_Terrestrial,Pseudoeurycea leprosa_Terrestrial_p,S,Tropical,V4,18.97973,-97.213,5,2015,wild,body,17.0470772,4.05344772,109.901459,2971,9.61250019,12.791667,71.8632965,114.079819,18.5,0.69999999,17.7999992,9.96666622,8.89999962,11,8.1833334,1152,196,26,75.3866501,571,82,310,91,Tropical & Subtropical Coniferous Forests,Trans-Mexican Volcanic Belt pine-oak forests,Plethodontidae,PRJNA830991,0.87537423,65.25166129,86,5.62538656,FSMR2467
ASMR2563,Pseudoeurycea leprosa,Terrestrial,Pseudoeurycea leprosa_Terrestrial,Pseudoeurycea leprosa_Terrestrial_p,S,Tropical,V4,18.97973,-97.213,5,2015,wild,body,17.0470772,4.05344772,109.901459,2971,9.61250019,12.791667,71.8632965,114.079819,18.5,0.69999999,17.7999992,9.96666622,8.89999962,11,8.1833334,1152,196,26,75.3866501,571,82,310,91,Tropical & Subtropical Coniferous Forests,Trans-Mexican Volcanic Belt pine-oak forests,Plethodontidae,PRJNA830991,0.886429548,87.4005745,124,6.164405089,FSMR2470
BSMR2483,Pseudoeurycea leprosa,Terrestrial,Pseudoeurycea leprosa_Terrestrial,Pseudoeurycea leprosa_Terrestrial_p,S,Tropical,V4,19.01358,-99.90027,5,2015,wild,body,20.8520699,6.60295057,242.515823,2896,12.0375004,13.7749996,71.3730545,152.526077,21.1000004,1.79999995,19.3000011,13.166667,9.85000038,13.4499998,9.85000038,1297,251,11,94.4620209,729,42,582,42,Tropical & Subtropical Coniferous Forests,Trans-Mexican Volcanic Belt pine-oak forests,Plethodontidae,PRJNA830991,0.905458609,246.6467438,349,7.648484225,FSMR2473
BSMR2485,Pseudoeurycea leprosa,Terrestrial,Pseudoeurycea leprosa_Terrestrial,Pseudoeurycea leprosa_Terrestrial_p,S,Tropical,V4,19.01358,-99.90027,5,2015,wild,body,20.8520699,6.60295057,242.515823,2896,12.0375004,13.7749996,71.3730545,152.526077,21.1000004,1.79999995,19.3000011,13.166667,9.85000038,13.4499998,9.85000038,1297,251,11,94.4620209,729,42,582,42,Tropical & Subtropical Coniferous Forests,Trans-Mexican Volcanic Belt pine-oak forests,Plethodontidae,PRJNA830991,0.449887554,91.99517058,109,3.044921889,FSMR2478
BSMR2493,Pseudoeurycea leprosa,Terrestrial,Pseudoeurycea leprosa_Terrestrial,Pseudoeurycea leprosa_Terrestrial_p,S,Tropical,V4,19.04676,-99.31806,5,2015,wild,body,19.9556885,7.04441643,178.856796,2979,12.333333,12.416667,74.3512955,137.71402,20,3.29999995,16.7000008,13.5,10.3499994,13.5999994,10.3499994,1255,262,9,97.6960831,737,40,354,40,Tropical & Subtropical Coniferous Forests,Trans-Mexican Volcanic Belt pine-oak forests,Plethodontidae,PRJNA830991,0.898224305,402.504243,594,8.276525385,FSMR2481
BSMR2506,Pseudoeurycea leprosa,Terrestrial,Pseudoeurycea leprosa_Terrestrial,Pseudoeurycea leprosa_Terrestrial_p,S,Tropical,V4,19.04676,-99.31806,5,2015,wild,body,19.9556885,7.04441643,178.856796,2979,12.333333,12.416667,74.3512955,137.71402,20,3.29999995,16.7000008,13.5,10.3499994,13.5999994,10.3499994,1255,262,9,97.6960831,737,40,354,40,Tropical & Subtropical Coniferous Forests,Trans-Mexican Volcanic Belt pine-oak forests,Plethodontidae,PRJNA830991,0.851378195,91.97295476,117,5.849278714,HSMR2495
BSMR2508,Pseudoeurycea leprosa,Terrestrial,Pseudoeurycea leprosa_Terrestrial,Pseudoeurycea leprosa_Terrestrial_p,S,Tropical,V4,19.04676,-99.31806,5,2015,wild,body,19.9556885,7.04441643,178.856796,2979,12.333333,12.416667,74.3512955,137.71402,20,3.29999995,16.7000008,13.5,10.3499994,13.5999994,10.3499994,1255,262,9,97.6960831,737,40,354,40,Tropical & Subtropical Coniferous Forests,Trans-Mexican Volcanic Belt pine-oak forests,Plethodontidae,PRJNA830991,0.887594097,231.9122867,314,7.362256413,HSMR2496
BSMR2510,Pseudoeurycea leprosa,Terrestrial,Pseudoeurycea leprosa_Terrestrial,Pseudoeurycea leprosa_Terrestrial_p,S,Tropical,V4,19.04676,-99.31806,5,2015,wild,body,19.9556885,7.04441643,178.856796,2979,12.333333,12.416667,74.3512955,137.71402,20,3.29999995,16.7000008,13.5,10.3499994,13.5999994,10.3499994,1255,262,9,97.6960831,737,40,354,40,Tropical & Subtropical Coniferous Forests,Trans-Mexican Volcanic Belt pine-oak forests,Plethodontidae,PRJNA830991,0.813859122,132.6623139,203,6.238503556,HSMR2513
CSMR2532,Pseudoeurycea melanomolga,Terrestrial,Pseudoeurycea melanomolga_Terrestrial,Pseudoeurycea melanomolga_Terrestrial_p,S,Tropical,V4,19.59315,-97.09306,5,2015,wild,body,19.7700043,7.30150986,87.1986618,3075,10.208333,10.2833338,65.918808,136.195602,18.3999996,2.79999995,15.5999994,10.6333332,9.13333321,11.8999996,8.44999981,1570,306,30,88.479454,876,96,393,99,Tropical & Subtropical Coniferous Forests,Trans-Mexican Volcanic Belt pine-oak forests,Plethodontidae,PRJNA830991,0.735545827,76.96247955,97,4.854538353,HSMR2515
